评论时间,昵称,评论内容
2020-10-18 14:38:41,卑微且胆小的我,有！
2020-10-11 21:23:22,陆陆陆饮溪,很blue啊
2020-10-11 17:35:18,小鹿乱撞Hens帅,抱抱
2020-10-10 12:49:24,七只小团啾,啊！听到了[大哭]
2020-10-10 12:46:29,七只小团啾,哪里啊？没有听到诶？
2020-10-09 03:08:37,hathfine,半夜醒来睡不着，听戳的歌，这就太甜了吧，好吧我更睡不着了。希望他俩一直好下去，分手谣言就是谣言。
2020-10-08 21:05:04,白栀华,那个戒指是为了纪念奶奶还是外婆的，sage也有一个
2020-10-07 21:31:24,为了蒋丞丞,每次听都好压抑
2020-10-07 21:30:57,为了蒋丞丞,啊？但是MV里无名指戒指不能说明什么吗？
2020-10-06 21:04:55,杨幂的崽崽,[大哭]都忘了自己还买了专辑   
2020-10-05 23:52:36,thisislouisaL,我也觉得！！！这嗓音真的不知道怎么形容就是Arcadia的感觉
2020-10-05 23:38:46,戳熙_BbZ8,"哈哈我的入坑曲不是这首，是fools,戳爷一开口，我对他的讨厌瞬间烟消云散，取而代之的是“啊！这个男人我好喜欢！”"
2020-10-05 23:32:08,thisislouisaL,他*
2020-10-05 23:32:04,thisislouisaL,hh它的魅力
2020-10-05 23:31:33,不上五百三不改名,你实现了，还有你也喜欢西瓜，好激动(✪▽✪)
2020-10-05 22:41:46,小奔快跑跑,其实也都看出来了，就是不愿意相信，现在依旧想着他们就是有个比较大的矛盾，会解决的[多多难过]
2020-10-05 18:46:45,戳熙_BbZ8,哈哈我好喜欢戳爷一开始最讨厌戳爷
2020-10-05 04:10:24,白栀华,《In A Dream》整张专，就是心路历程
2020-10-04 20:45:55,德拉科sas,同哈哈哈哈哈
2020-10-04 20:45:42,德拉科sas,就双粉挺离谱的
2020-10-04 18:34:00,小奔快跑跑,真的分手了吗[多多大哭]
2020-10-02 00:43:31,白栀华,越来越不敢听这首歌了，以前的糖，现在的殇，感觉2年前的样子还近在眼前，希望他能一直是开开心心的
2020-10-01 20:09:17,毛豆菜-,太美好了
2020-10-01 15:07:51,Ms_Seventeen,每次前奏一响就以为有蚊子在耳边
2020-09-28 21:53:18,音符间的狂热,哈哈哈哈哈
2020-09-26 01:14:49,thisislouisaL,我好喜欢这首 一开始最讨厌这首hh
2020-09-21 23:39:51,Trackless-,目前Troye编曲最牛的
2020-09-20 11:54:49,席泽内,全专最爱
2020-09-18 09:48:23,Ivy_ada,开头是飞机声吗
2020-09-13 08:36:00,小鹿乱撞Hens帅,如果是失恋被绿 这是一首压抑得歌曲
2020-09-11 10:51:01,Lynnoor,今年也还是我最喜欢的戳戳的一首歌啊～
2020-09-11 02:40:10,骚的当,汝独秀
2020-09-09 01:03:15,Ivy_ada,开头嗡嗡的是什么声音
2020-09-07 19:32:08,海蝶音乐许总监首席助理,我第一次听，以为电动牙刷[呲牙]
2020-09-07 09:47:43,金泡菜很好吃kkk,沉浸在梦幻之中
2020-09-05 23:22:55,MbtChloe,[爱心]
2020-09-04 21:31:24,栗啧啧啧啧,真的爱这首！！！
2020-09-04 01:37:27,Gejjinn,@Flinbb 我就是animal
2020-09-03 17:54:31,Trackless-,这首编曲太棒了
2020-08-29 19:42:17,今天和戳鹅抱抱了吗,宝贝宝贝mama又来了么么太好听了呜呜永远的爱
2020-08-26 23:35:06,老四的翠丝,前奏蚊子声真的讨厌[口罩]
2020-08-26 10:51:58,吞铁球-嚼灯泡,甜
2020-08-25 00:56:56,二狗稽,新专的一首歌里面，有段有animal的感觉了～
2020-08-21 02:18:29,琛何布洛苏,我从In a dream回来，眼泪止不住地往下流
2020-08-20 21:59:18,illcomeback2u,还是好听
2020-08-20 17:31:25,ll莱斯特小姐ll,🥀the house is on fire woooh
2020-08-20 14:40:31,我想有虾条嘎嘎嘎,啊啊啊好柔！
2020-08-18 22:59:59,席泽内,好喜欢这首
2020-08-16 15:06:40,花园宝宝抱着你,我以为我耳机坏了
2020-08-15 00:35:12,幸好我最喜欢巧克力口味了,不知道为什么，听到这首歌脑海里是格里菲斯天文台的风景
2020-08-14 17:38:05,月白暮落,这个旋律，好熟悉。
2020-08-14 08:09:13,我戳爱洗碗,好闺蜜🤓🌚👍🏻
2020-08-13 11:15:47,网易云改名字不用付费诶,真的诶！
2020-08-11 22:09:43,Dear_Irene,阿西我刚刚躺床上听的时候听前奏嗡嗡嗡的还以为有蚊子 一下子从床上惊坐起来[便便]@是XY不是坐标O_o 
2020-08-11 12:46:23,安可乐啊i,会好的
2020-08-10 20:09:34,是蜘蛛侠不是猪猪侠啊,啊嘻嘻
2020-08-10 20:03:16,F-winnie,超级喜欢animal啊！
2020-08-10 20:01:35,F-winnie,[流泪][流泪][流泪][流泪]
2020-08-10 13:43:51,YDCTMFS,两周年了 过得好快
2020-08-10 10:54:09,皓月挽星辰,We'll be more than getting through yeah此生携手共白头 来生还要再相守这句翻译真的绝了[爱心]
